id|name|description|mision|vision|sector_id
13c871d7-fe73-4392-8291-30cc78ffa857|Instituto Distrital De Gestión De Riesgos Y Cambio Climático|Entidad que lidera la gestión de riesgos y la respuesta ante emergencias en Bogotá.|El IDIGER emprende acciones y genera lineamientos para la gestión del riesgo de desastres y la adaptación al cambio climático, en el marco de la coordinación del SDGR-CC en el Distrito Capital, con el fin de proteger a las personas en situación de riesgo y lograr el desarrollo sostenible de Bogotá D.C|En el 2030 el Distrito contará con mejores capacidades para gestionar el riesgo de desastres y los efectos del cambio climático, mediante la intervención del territorio y coordinación efectiva del SDGR-CC por parte del IDIGER, para la construcción de una ciudad resiliente.|88f73ec3-05bf-4c09-b3b4-a325a9cf075a
e739d624-2335-4c9f-87af-db9ba828e296|Instituto Distrital De Protección Y Bienestar Animal|Entidad dedicada a la protección y bienestar de los animales en Bogotá.|Somos la primera entidad pública encargada de la protección y el bienestar animal, garantes de la vida de la Fauna en el Distrito Capital a través, de la formulación, implementación, seguimiento y evaluación de políticas públicas sectoriales e intersectoriales..|El Instituto Distrital de Protección y Bienestar Animal será referente a 2024, como la entidad rectora, modelo de gestión pública para la promoción del bienestar y prevención del maltrato animal en corresponsabilidad con la sociedad civil.|88f73ec3-05bf-4c09-b3b4-a325a9cf075a
eb0a045e-2518-4482-a623-8351a9340e2a|Jardín Botánico José Celestino Mutis|Jardín botánico que promueve la conservación y el estudio de la biodiversidad.|Investigar y conservar la flora de los ecosistemas altoandinos y de páramo y gestionar las coberturas vegetales urbanas, contribuyendo a la generación, aplicación y apropiación social del conocimiento para la adaptación al cambio climático, al mejoramiento de la calidad de vida y al desarrollo sostenible en el Distrito Capital y la Región|En el 2038 seremos reconocidos nacional e internacionalmente como un centro de investigación de referencia en los ecosistemas alto andinos y de páramo y como destino de naturaleza, que contribuye a la transformación del pensamiento ambiental para la sostenibilidad del territorio.|88f73ec3-05bf-4c09-b3b4-a325a9cf075a
f44cbd7c-171d-4b35-9133-8901fb67c3a0|Secretaría Distrital De Ambiente|Entidad que lidera la gestión ambiental y la protección de los recursos naturales.|La Secretaria Distrital de Ambiente, como autoridad ambiental del Distrito Capital propende por el desarrollo sostenible de la ciudad, formulando promoviendo y orientando políticas, planes y programas que permitan la conservación, protección y recuperación del ambiente y de los bienes y servicios naturales de la Estructura Ecológica Principal y de las áreas de interés ambiental; para mejorar su calidad de vida, la relación entre la población y el entorno natural, el disfrute de los derechos fundamentales y colectivos del ambiente, respondiendo a las acciones encaminadas a  la adaptación y mitigación al cambio climático, reverdeciendo a Bogotá y promoviendo la participación de la ciudadanía en todas sus dimensiones y el cambio de los hábitos de vida.|En el 2024 la Secretaría Distrital de Ambiente será reconocida por su gestión ambiental y el cumplimiento de los Objetivos de Desarrollo Sostenible-ODS relacionados con el uso adecuado de los recursos naturales, adaptación al cambio climático y conservación, protección y recuperación de las áreas de interés ambiental urbanas y rurales, mitigando el daño a los ecosistemas a través del crecimiento verde, la restauración y mantenimiento de áreas de la estructura ecológica principal entre otras áreas de interés ambiental, disminuyendo las afectaciones a la salud producidas por la contaminación del aire y reduciendo los factores de deterioro ambiental a través de la utilización de energías limpias, alternativas de movilización y los hábitos de producción y consumo en el Distrito, a fin de ofrecer una ciudad más sostenible, contribuyendo a la reordenación del territorio para las generaciones presentes y futuras, con estrategias de acción colectiva,  mejoramiento en la confianza y participación ciudadana.|88f73ec3-05bf-4c09-b3b4-a325a9cf075a
7685ff5a-9ae7-4ffc-b81d-8ab9fa125415|Canal Capital|Medio de comunicación público encargado de informar y educar a la ciudadanía.|Capital es el Sistema de comunicación pública de Bogotá región que ubica a la ciudadanía en el centro de su operación y, mediante la inteligencia colectiva, aporta a la construcción de una sociedad participativa e incluyente, a través de la producción y circulación de contenidos informativos, culturales y educativos en múltiples plataformas y del desarrollo de estrategias de comunicación relevantes para los grupos de interés.|En 2024 Capital será el sistema de comunicación pública motor de la innovación audiovisual de Bogotá región, reconocido y valorado por la ciudadanía como espacio de participación y pluralidad, garante del libre acceso a la información y generación de conocimiento en la ciudad, bajo un modelo de operación eficiente. |63ab3c1d-7b2f-4c48-821e-4639f5f567e4
9a322050-1f3a-4431-87f4-5d24fb1adcf5|Fundación Gilberto Alzate Avendaño|Fundación dedicada a la promoción de la cultura y el arte en la ciudad.|La Fuga es la plataforma pública de la administración distrital, que articula y gestiona la revitalización y transformación participativa del centro de Bogotá a través de su potencial creativo, el arte y la cultura.|En 2030, la Fuga será referente de articulación y gestión de iniciativas de transformación del territorio del centro de Bogotá, como símbolo distrital de desarrollo desde el potencial creativo, el arte y la cultura.|63ab3c1d-7b2f-4c48-821e-4639f5f567e4
9c4dae24-05a5-454b-bd06-b44f7b4b5aab|Instituto Distrital De Las Artes|Organización que promueve y gestiona el desarrollo cultural en Bogotá.|En su calidad de entidad pública del sector Cultura Recreación y Deporte de la Alcaldía Mayor de Bogotá, el Idartes garantiza el acceso al disfrute y la práctica de las artes en condiciones de igualdad y oportunidad para los habitantes de Bogotá, mediante la promoción de la investigación, formación, creación, circulación y apropiación social del arte, potenciando la construcción de ciudadanías críticas, sensibles y creativas y las identidades culturales de la ciudad.|El Idartes garantizará que el arte contribuya a la construcción de una sociedad más libre, diversa, crítica, incluyente e intercultural, potenciando su correlación con otras dimensiones del ser humano, implementando nuevos modelos de descentralización, promoviendo las capacidades de agentes del sector, fortaleciendo los lenguajes artísticos, ampliando su presencia en el espacio público. Con equipos altamente calificados, impulsará la gestión del conocimiento y el fomento de alianzas interinstitucionales, nacionales e internacionales, buscando, siempre, que el arte esté presente en la vida de todas y todos los habitantes de Bogotá.|63ab3c1d-7b2f-4c48-821e-4639f5f567e4
26cbed04-cff6-45d8-8c3b-98ac8e94a5de|Instituto Distrital De Patrimonio Cultural|Instituto responsable de la protección y preservación del patrimonio cultural del distrito.|El Instituto Distrital de Patrimonio Cultural (IDPC) gestiona y acompaña procesos y estrategias para la protección, intervención, divulgación, activación social y salvaguardia de los patrimonios, a escala distrital, local y barrial, mediante iniciativas de participación, diálogo y articulación social e interinstitucional que posibiliten su reconocimiento y cuidado colectivo, con enfoque territorial y poblacional-diferencial.|Para el año 2028, el Instituto Distrital de Patrimonio Cultural (IDPC) se habrá consolidado como una entidad pública presente, confiable y eficiente, que incide en el ordenamiento territorial y en las transformaciones sociales y culturales de una ciudad dinámica, que comprende el patrimonio cultural como un eje para mejorar el bienestar y las formas de habitar Bogotá.|63ab3c1d-7b2f-4c48-821e-4639f5f567e4
6c08e1b7-e43e-42ef-ad4a-9bc3c77ed37f|Instituto Distrital De Recreación Y Deporte|Organismo encargado del fomento del deporte y la recreación en la ciudad.|Fomentar el bienestar integral de la ciudadanía a través de estrategias de actividad física, recreación, deporte y la sostenibilidad de parques, escenarios y equipamientos deportivos, para impulsar el desarrollo territorial, la cohesión y el tejido social. |A 2028, ser una entidad participativa, reconocida nacional e internacionalmente, que cuente con parques, escenarios y equipamientos recreodeportivos sostenibles, valorados por la ciudadanía, para desarrollar estrategias y programas innovadores adaptados a las diversas necesidades de la ciudad y sus habitantes.|63ab3c1d-7b2f-4c48-821e-4639f5f567e4
e819483d-de24-47eb-9b19-97a2880958fe|Orquesta Filarmónica De Bogotá|Orquesta que fomenta el desarrollo musical y artístico en Bogotá.|Cultivar y enriquecer la ciudadanía, con la interpretación y enseñanza de nuestro nutrido y diverso repertorio, por medio de la música sinfónica y el canto lirico.|Bogotá será un referente musical y educativo en Colombia por la calidad de sus agrupaciones musicales, de sus procesos de formación musical y por la diversidad y acogida de su repertorio musical.|63ab3c1d-7b2f-4c48-821e-4639f5f567e4
