id|name|description
cb97ff1f-e447-441e-84cb-c3a91c0f056b|Ambiente| Encargado de la protección ambiental, la sostenibilidad y la mitigación del cambio climático en la ciudad.
bf7692cb-3230-48cd-8f27-5712088f7b95|Cultura Recreación y Deporte| Promueve el patrimonio cultural, la expresión artística, el deporte y las actividades recreativas.
0050f5ed-f964-413b-8d61-41fabfeccbeb|Desarrollo Económico Industria y Turismo| Impulsa el crecimiento económico, el apoyo a empresas y el fomento del turismo en Bogotá.
c97bc52c-238a-4e6c-b578-cc937e782e24|Educación| Garantiza el acceso a educación de calidad, fomenta la innovación en el aprendizaje y el desarrollo académico.
2e491fa4-4183-42c6-9223-8a7a600e72cb|Gestión Jurídica| Brinda asesoría legal, garantiza el cumplimiento normativo y la defensa jurídica de entidades públicas.
f61b45bb-c83d-4ea2-87f6-4a17dc92cd02|Gestión Publica| Enfocado en mejorar la administración pública, la eficiencia institucional y la transparencia gubernamental.
6b8eeb8b-ae99-491d-b3a6-3409a078fd23|Gobierno| Encargado de la gobernanza, la participación ciudadana y la administración de los asuntos públicos.
80e2d264-ef18-4b3a-be5a-17c5e5ecb982|Hábitat| Responsable de la vivienda, el ordenamiento territorial y el desarrollo urbano sostenible.
6566d981-24a4-404d-a856-860b95470a48|Hacienda| Maneja las finanzas públicas, el presupuesto distrital, la tributación y las políticas económicas.
b1dd921b-40f3-4554-b951-940d45233ac0|Integración Social| Diseña políticas y programas para la inclusión social y el apoyo a poblaciones vulnerables.
4ec7acd6-63ed-4e0a-8bb7-2389827dcd03|Movilidad| Planifica y administra la infraestructura de transporte, el sistema de movilidad y el tránsito en Bogotá.
57da4fc1-6a5a-476f-a1a1-d456cad979cb|Mujeres| Formula e implementa políticas de equidad de género, derechos de las mujeres y empoderamiento femenino.
bd27b4dc-94d9-4bbd-90a2-ed0bb4216d45|Órganos de Control| Entidades encargadas de la vigilancia, control y auditoría de la gestión pública.
db32dccc-51ab-4438-8b18-6a003f295a36|Planeación| Responsable del diseño y ejecución de planes estratégicos y de desarrollo en la ciudad.
e5905926-37f2-41b7-bf51-623d0e8e4ec5|Salud| Administra los servicios de salud pública, la prevención de enfermedades y la atención médica.
4a3cbb2b-b651-4b09-8553-bc2de4be7d95|Sector descentralizado territorialmente| Conformado por las 20 alcaldías locales de Bogotá, encargadas de la gestión territorial en sus respectivas localidades.
a6ca194c-f505-4dae-a0b0-f2a5cf9c34f8|Seguridad Convivencia y Justicia| Se ocupa de la seguridad ciudadana, la justicia, la prevención del delito y la resolución de conflictos.
