id|index_edition_id|name|weight
cedf5849-6b70-4fc5-a9e3-dcdcb6e67497|2019|Componente 1. Capacidad Institucional|0
8dece62e-03f2-4c96-b3cf-a368cc777357|2019|Componente 2. Procesos y procedimientos|0
a7903ad5-8bb7-43f6-8c99-1f76bbec64f0|2019|Componente 3. Resultados|0
6ea0a738-462e-4cff-857b-3196053526c0|2019|Componente 4. Gestión del conocimiento|0
b0c789ba-1c20-4043-97ee-3644c6b9d408|2021|Componente 1. Capacidad Institucional|0
ed66d8ef-8ee1-4742-9989-b31193221993|2021|Componente 2. Procesos y procedimientos|0
b37c2b6c-85a3-4749-a609-70c128297ba8|2021|Componente 3. Resultados|0
84aaf7b4-ba12-4c79-849e-3ed0f020ea26|2021|Componente 4. Gestión del conocimiento|0
5c3163c5-1f46-4d19-9b60-37a9a486e191|2023|Componente 1. Capacidad Institucional|0
0a640971-a715-4bc9-af14-b8b48750d11a|2023|Componente 2. Procesos y procedimientos|0
917a7d06-0dca-44ff-8c73-f4e466d717ab|2023|Componente 3. Resultados|0
167a856f-0abc-4e33-80c2-252e314ae4a9|2023|Componente 4. Gestión del conocimiento|0
